tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1225961057996410880g,"100 % Voting appeal, otherwise NDTV/INDIA TODAY/ AAJTAK anchors get ""STOMACH PAINS"" discussing low on ""DEMOCRATIC INDEX"" https://t.co/uslZKviufD Air, water, power, living, political quality index which SHAHEEN BAUG MUSLIM, 😜😎with open eyes telling ""DELHI100% VOTE"" https://t.co/cEJnTgHuxW",http://pbs.twimg.com/media/EQN9FbLWAAAjotA.jpg,NA,NA,NA,NA,NA,NA,muslim,middle eastern,NA,NA,NA,NA
1215913984974454785g,Sounds like someone doesn’t understand the definition of the term racist. LOL. Saying white people can’t be the victims of racism or prejudice is ignorance in itself. You become what you are aiming to defeat. You are not helping anyone’s situation. https://t.co/JPIAvMqm8x,http://pbs.twimg.com/media/EN_LTceVAAA0wYz.jpg,NA,NA,NA,NA,NA,NA,racism,minority,racist,minority,white people,white
1284569032570667010g,"@senatemajldr @marcorubio Sure about that? This is NOT John Lewis! But then hey, don’t all black men look like to you white Republicans. Yes I consider Marco a white Republican. He’s no more Hispanic than my cocker spaniel.#VoteBlueToEndThisNightmare https://t.co/DF4FEsXvjU",http://pbs.twimg.com/media/EdO0ujsXYAE3nZh.jpg,bi,bisexual,NA,NA,NA,NA,black men,black,hispanic,hispanic,NA,NA
1309639658280833025g,"@Katysmuse @TamiSFGiantFan @TNVolFan4evr @FrancisBrennan @DonaldJTrumpJr Which he tanked - just like he bankrupted casinos &amp; failed at EVERY business he has touched. Banks wouldnt touch him anymore - so where did he get the $ from - Russia/Saudis/Chinese - who all ""owns"" him - see Manhattan NY - they have the goods on him. https://t.co/zMoiprm4TB",http://pbs.twimg.com/media/EizGU05WAAAAuWG.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,saudis,middle eastern,NA,NA
1299429397951373313g,"It is actually shocking to realize how many people I’ve known for years who are straight up, outright, unabashedly racist. https://t.co/aMuSr6eyec",http://pbs.twimg.com/media/EgiAJheX0AABcF-.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1298497028444561412g,@KamalaHarris @JoeBiden loves his Chinese connections https://t.co/TZGYua8P2J,http://pbs.twimg.com/media/EgUwKMjWoAEezlX.jpg,bi,bisexual,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
1266720631074230273g,Racist propaganda at every turn. Let’s take back our country from this fascist Hitler/Goebbels playlist following racist regime. Enough is Enough! V O T E B L U E like your life &amp; republic depends on it! 👊🏽 https://t.co/YOFHh2fgwA,http://pbs.twimg.com/media/EZRLsv9XsAsQIV_.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1327286090877833216g,@USSupreme_Court @SenateDems @HouseDemocrats @JoeBiden @KamalaHarris @JustinTrudeau Same Sex Marriage is now legal in the North American Continent https://t.co/VDu3ke7xWh,http://pbs.twimg.com/media/Emt3qZeXMAEeN6N.jpg,bi,bisexual,same sex marriage,lgbtq+,NA,NA,NA,NA,NA,NA,NA,NA
1281240665544949763g,@MikeMelrose01 @yaribangz @TheMightyDino @tyracountryman @TroyWalkeresq When racists ask POC to explain why THEY are racist....... https://t.co/UXiREoKMZI,http://pbs.twimg.com/media/Ecfhl1wXgAI878p.jpg,NA,NA,NA,NA,NA,NA,poc,minority,racist,minority,NA,NA
1257487387115974657g,This nut is Jim Jones all over. If he says jump his supporters will ask from which building.....#FakePresident #FakePresident45 #PutinsPuppet #racist #JimJones #TrumpsCrazy #realtalk #Truth #politics #VoteHimOut2020 https://t.co/1XoTbPlQxD,http://pbs.twimg.com/media/EXN-HNSVcAA2NL6.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1213268948432703495g,@charliekirk11 You socialist must have been paid off by #Soros. Or are you really that fked up. @potus is saving America. https://t.co/eZ62Qd30Lz,http://pbs.twimg.com/media/ENZlrQrUwAAS7fj.jpg,NA,NA,NA,NA,NA,NA,soros,jewish,NA,NA,NA,NA
1237955235877810183g,@denisewu Another racist virus https://t.co/mLJDBXTzAs,http://pbs.twimg.com/media/ES4ZuNPXgAEv32L.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1265785864078098435g,Everytime black ppl get to talking about racism https://t.co/bVq20lLyP5,http://pbs.twimg.com/media/EZD5hxIXQAAwHmG.jpg,NA,NA,NA,NA,NA,NA,black ppl,black,racism,minority,NA,NA
1335020973981016067g,"@daveshackleford Dude, I can’t help Fucking with them now. Not legit Republicans who can have a decent conversation about politics, the idiots who don’t wear masks, open carry, are racist, think the election was rigged, and still display a Trump flags. https://t.co/cE9V7EyVmB",http://pbs.twimg.com/tweet_video_thumb/Eobyf11VoAQKN4d.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1322763451257786369g,"@LindseyGrahamSC Yep. We know you don't care about women's rights, gay rights, voting rights or decency. We will remember. https://t.co/4mw0NzMNw7",http://pbs.twimg.com/media/EltmWVjXEAIcKTs.jpg,gay,gay,gay rights,lgbtq+,NA,NA,NA,NA,NA,NA,NA,NA
1277988459123077121g,7/4/20...all we wanna do is live ✊🏽 Death to the oppression Do me a favor and RT this. #Freedom #BLM #BlackLivesMatter https://t.co/fZp6MaEwmI,http://pbs.twimg.com/media/EbxTuePUMAIuzAR.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,blm,black
1266504781830340609g,When people of color say stupid shit like this I just cringe. #modelminority https://t.co/pBSlTPlEpk,http://pbs.twimg.com/media/EZOHYpgVAAAKB1r.jpg,NA,NA,NA,NA,NA,NA,people of color,minority,NA,NA,NA,NA
1282464235084083200g,These are perfect examples of trumps white trash cult..I hope none of the poor examples of humans dont have children..All this country doesn't need is another generation of undereducated mindless buffoons..I'm Embarrassed that they are citizens of our country... https://t.co/5XWRWRCUQe,http://pbs.twimg.com/tweet_video_thumb/Ecw6a4aUYAAz6H6.jpg,NA,NA,NA,NA,NA,NA,white trash,white,NA,NA,NA,NA
1246866098932285440g,They stand united because they STILL mad they had to call this man right here SIR! They stand with 45 because of their commonality...racism. https://t.co/T5WiTIfn0t,http://pbs.twimg.com/media/EU3CGAjXQAYi8kC.jpg,NA,NA,NA,NA,NA,NA,racism,minority,NA,NA,NA,NA
1229989660828540928g,"@realDonaldTrump we all like to relive our “glory days” ...thought you’d enjoy this little reminder that once a fucking racist asshat, always a fucking racist asshat. You have a nice night, now https://t.co/5hupBdfQxv",http://pbs.twimg.com/media/ERHNEvTX0AA8qSS.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1274208205455781888g,"#Republican #WaronDrugs, #CriminalJustice #PoliceBrutality #Democrat #PoliceUnions #Vote #HappyJuneteenth #Juneteenth #Juneteenth2020 #JusticeforGeorgeFloyd #GeorgeFloyd #JusticeforStephonClark #StephonClark https://t.co/VIbfegxjSA",http://pbs.twimg.com/media/Ea7lm1CUYAE9wyl.jpg,NA,NA,NA,NA,NA,NA,policebrutality,black,NA,NA,NA,NA
1286777605404778496g,@JeffFrick @CTOAdvisor @CNBC @mthiele10 @MS1MN @Scobleizer @rwang0 You mean “China Virus?” 😂 https://t.co/ZkBJRZQqnQ,http://pbs.twimg.com/tweet_video_thumb/EduNZ9vUcAAIDz3.jpg,NA,NA,NA,NA,NA,NA,china virus,asian,NA,NA,NA,NA
1266502350673530888g,"@realDonaldTrump the hatred you spew infects the weak-of-mind. On 11.03 we will administers the vaccine when we crush you, legally and peacefully. #BlackLivesMatter #VoteBlueToSaveAmerica2020 https://t.co/YP5g4J4IoV",http://pbs.twimg.com/media/EZOFLOKX0AEsyPQ.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
1268452540657668104g,I'm made a thing #AmericaOrTrump #PoliceViolence #BlackLivesMatter https://t.co/IF3hFOFUky,http://pbs.twimg.com/media/EZpy2KWXYAA5Nbp.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
1285377606959996929g,Auntie Maxiiiiiiiine!!! SHE HAD TIME FOR THEM TODAY!! NO #Hero like THIS #Shero ✊🏿 Rep. Maxine Waters was filmed ensuring that a Black man was safe after he was detained by police in her Los Angeles congressional district. #maxinewaters #blacklivesmatter #shedontplay #superShero https://t.co/0FCcDwT88F,http://pbs.twimg.com/ext_tw_video_thumb/1285377560977780736/pu/img/9HVYlh5CmR5OCpkI.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,black man,black,blacklivesmatter,black
1264241918793273344g,"@MrColionNoir @JoeBiden @TheDemocrats have ALWAYS expected people of color to fall in line! ""It is quiet as a church mouse on the left."" says @SenatorTimScott ""Whitewashing Vice President @JoeBiden's comments only means he will consistently disrespect the Black vote."" https://t.co/HUwW14Rnu2",http://pbs.twimg.com/amplify_video_thumb/1263964702620745728/img/41aW1C5xaq6DtPtW.jpg,bi,bisexual,NA,NA,NA,NA,people of color,minority,NA,NA,NA,NA
1326552315642347521g,"AS #Trump TRIES 2 DESTROY OUR DEMOCRACY, @SenatorLoeffler @sendavidperdue COWER &amp; SHOW. #FlipGeorgiaBlue #FlipGeorgiaSenateSeats #RESIST @Morning_Joe @JoeNBC @morningmika @SteveSchmidtSES @ProjectLincoln @NicolleDWallace @SRuhle @KatyTurNBC #MAGA #BLM #FBR https://t.co/x4qssxmy2P",http://pbs.twimg.com/media/EmiVmBTXUAAEuOw.jpg,NA,NA,NA,NA,NA,NA,blm,black,NA,NA,NA,NA
1298741734994857985g,"Me, a gay, rolling into my English obsessed borderline homophobic mom. 🌈✨ https://t.co/QNPRyuID5F",http://pbs.twimg.com/media/EgYOuQcXgAAD5ie.jpg,bi,bisexual,gay,gay,homo,lgbtq+,NA,NA,NA,NA,NA,NA
