image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345183534856564736g.png,“F*** the blue!” Proud Boys yell at police at the end of tonight’s demonstration #Salem #Oregon #ProudBoys https://t.co/hrVd3fzRa1
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345184661685735424g.png,@catcora Japanese eat these beans. https://t.co/9u0pWkCzw5
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345187929052700672g.png,"CSUB WBB falls to Long Beach State in its Big West opener, 61-57. Jayden Eggleston had a game-high 22 points (9-12 FG). Miracle Saxon went for 12 points and a game-high 9 rebounds. The Runners will run it back with LBSU tomorrow @ 4pm. @CSUB_WBB @CSUBAthletics https://t.co/ZW4EruZFFG"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345189362762358785g.png,"#Trump and 140 #GOP Members Claim ""Chinese Conspiracy"": https://t.co/11eWUDWnD1 @GenFlynn @realDonaldTrump @WhiteHouse @POTUS @replouiegohmert @marklevinshow @theblaze @TwitterDC @RightWingWatch @TwitterNews @TwitterMedia @TakeoverDc @CNewsfeedus @fbnewsroom @ReimagineRadio https://t.co/1CoDmKm8Rw"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345189814627409920g.png,Niggas racing home from the club last night to post they’re 360 video first 😂😂😂😂😂😂😂 https://t.co/gFeXndEFsn
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345191554173054982g.png,"Excited to team up with fitness professionals across Canada to help raise awareness about the farming laws that the Modi Government is implementing that will hurt small family businesses, dehumanizing our farmers in Punjab and their rights, suicide &amp; education. #ISTANDWITHFARMER https://t.co/Jeufg7mS9Y"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345196541066272768g.png,@DirtyOne83 i tend to use a lot of madoo but i use a lot of other rainbows as well as some really strong solid an bi-color leads. just hit me up whenever you want to wash a dungeon https://t.co/Q8K8xcTAHv
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345200868723884032g.png,"@RJ67031772 I’m a friend first! If you’re into the kinky, poly, queer, secret, awesome, sexy **wow**🥵🔥 stuff, I help lots of ppl get it! ^.^ if you’re on Fetlife find me! 🥳🙏🏾❤️ I’m TheTamachan pretty much everywhere https://t.co/ZCo33Hg8bA"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345202942643740674g.png,25mm lash collection 🥰❤️ #shopsmall #SupportSmallBusinesses #SupportBlackBusiness #lashprenuer #BlackGirlMagic #lashboss #cosmeticboutique #blackowned #GirlBoss #ordertoday 🥰❤️‼️ https://t.co/J2qvSioJR7
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345205277558071296g.png,Everett. Eat at Sabai Jai Thai. So good!!! #eatlocal #everett #liveineverett https://t.co/4YOe4cwXku
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345215032464990209g.png,"White people, you see an application with this description, what’s your reasoning for creating a profile? How do you arrive at the justification? https://t.co/aM0cBxu7SX"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345217430579245058g.png,"Human rights abuse iyo. @BitiTendai kwanzi wakarova muRussian, Yemeni zvako! https://t.co/NDRbweh7Ec"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345221618574868480g.png,@realDonaldTrump Don't forget to wear your Nazi Swastika on your arm at the rally https://t.co/xH37R0V4jB
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345230355041824768g.png,"@GODISMlKEY where my big dick, diamond rockin, foreign drivin niggas at?! https://t.co/6pW4MqNXdW"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345230898975924224g.png,"@michelleetc26 @newyorkpost @BenCrumpLaw @keyonharrold @Jezebel Last I checked, Georgia, Armenia &amp; Azerbaijan are the places that make up The Caucasus Mountains. So if you're not from there, HOW are you Caucasian? I'm in an Italian FB group &amp; they HATE being called White. I'm called African American,so here we are. Her self racial draft is... https://t.co/CVO0TQjWMX"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345232037829963778g.png,@Skinny_Pigs @murray_nyc @jengrimes8 @realDonaldTrump The Proud Boys will be there too. https://t.co/etSjVv5wF6
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345233394901381121g.png,"For 60 days, millions of people in Tigray have not accessed food, water, electricity, internet or phones. They've also been under attack by Eritrean and Ethiopian forces for weeks. Many have died. Not enough people are talking about this #TigrayGenocide https://t.co/oR1mRy7jfn"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345234053688152066g.png,"Alongside these interviews, the doc also explores the tragic marriage between Jack Nance and Kelly Van Dyke. How the problems during it evolved into a tragic turn that affected the filming of a movie he was working on and how it permanently scarred his life. https://t.co/B2ZhYkakib"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345236536196009984g.png,"1 January 2021 #GodofAbraham #Jesus News Release @MikeArchives @jeffdavisshow US Congress Campaigns District 10 Texas 1990, 1992, 1994 Legendary Debate 1992 Trilateral Commission Talk floors Late US Rep JJ ""Jake"" Pickle Answers the Jewish question https://t.co/QicShKMGM6 https://t.co/c8vSB7vjW4"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345237525946744833g.png,"Swung by a friends old shop. He passed a few months ago, almost 90. Still ran a camera store till his last breath. It was his love. His daughter finally emptied the store this week. I will miss him and this space. He was from Poland, survived nazis, bombs, &amp; loved 🇨🇦. https://t.co/UcJwOTBFDh"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345240709926772738g.png,"#Fotodelrecuerdo Track Meet Orange County Diciembre 04, 2020 Luis Grijalva, Guatemala 🇬🇹 5,000 metros Lugar: 1 Heat: Sub-13:15 Marca: 13:16.75 . . . . https://t.co/LF6hWje04E . . . . #latinos #atletismolatino #atletismo #atletasenpista Foto: @PhotoJRN / @csfmag https://t.co/gtm5ULqwOT"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345240770735988737g.png,"@AAlwaysproud @NYCurlyGirl @weluvlivandfitz She identified as Caucasian and now Puerto Rican. I never said she was white, both ethnicities. And not all ""white"" Europeans identify AS white outside of the US. Who hurt you? Was it Miya? Show us on the map where it was. Well, not me, I'm blocking you, but others. https://t.co/cFOaWsl7aV"
